pl_name,hostname,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist,ra,dec,st_spectype,st_teff,st_mass,st_rad
Kepler-51 c,Kepler-51,4,Transit,2012,85.31200000000,0.3840000000,9.00000000,4.00000000,783.83100000,296.4797624,49.9376486,,6018.00,1.040000,0.940000
Kepler-51 d,Kepler-51,4,Transit,2014,130.19400000000,0.5090000000,9.70000000,7.60000000,783.83100000,296.4797624,49.9376486,,6018.00,1.040000,0.940000
Kepler-51 e,Kepler-51,4,Transit Timing Variations,2024,264.28400000000,,2.18000000,5.40000000,783.83100000,296.4797624,49.9376486,,5674.00,0.960000,0.870000
Kepler-510 b,Kepler-510,1,Transit,2016,19.55659418000,0.1352000000,2.47000000,6.66000000,386.17700000,287.6550196,39.2441716,,5746.00,0.910000,1.410000
Kepler-511 b,Kepler-511,2,Transit,2016,296.63786500000,0.8567200000,6.35000000,33.10000000,651.99900000,282.9455384,47.5749181,,5770.00,1.000000,1.200000
Kepler-511 c,Kepler-511,2,Transit,2021,26.62949944000,0.1717700000,4.20964327,16.50000000,651.99900000,282.9455384,47.5749181,,5866.00,0.958000,1.417000
Kepler-512 b,Kepler-512,1,Transit,2016,34.43587975000,0.2139500000,2.69000000,7.70000000,467.37500000,298.2689217,48.9167391,,5997.00,1.170000,1.300000
Kepler-513 b,Kepler-513,1,Transit,2016,28.86235584000,0.1779000000,2.20000000,5.48000000,468.25800000,285.0416235,50.0753913,,5849.00,1.020000,1.060000
Kepler-514 b,Kepler-514,1,Transit,2016,5.65179605000,0.0655900000,1.72000000,3.61000000,455.33600000,286.2471739,50.2423694,,6106.00,1.280000,1.440000
Kepler-515 b,Kepler-515,1,Transit,2016,19.96371318000,0.1333000000,1.46000000,2.73000000,255.00000000,290.4939130,52.0556110,,5293.00,0.900000,0.830000
Kepler-516 b,Kepler-516,1,Transit,2016,24.85462415000,0.1992000000,5.74000000,27.90000000,687.09400000,295.6087625,38.7357368,,7099.00,1.620000,2.020000
Kepler-517 b,Kepler-517,1,Transit,2016,60.92832271000,0.2868200000,2.67000000,7.61000000,289.90700000,293.6755138,41.2952061,,5690.00,0.950000,0.980000
Kepler-518 b,Kepler-518,1,Transit,2016,8.51203587700,0.0799600000,2.11000000,5.10000000,337.90100000,287.0900190,41.3737576,,5842.00,0.960000,0.880000
Kepler-519 b,Kepler-519,1,Transit,2016,24.30789460000,0.1593200000,2.10000000,5.06000000,246.61000000,299.3196708,41.3847447,,5260.00,0.890000,0.800000
Kepler-52 b,Kepler-52,3,Transit,2012,7.87735650000,0.0637000000,2.10000000,135.00000000,321.54200000,286.7380152,49.9757383,M0 V,4075.00,0.540000,0.520000
Kepler-52 c,Kepler-52,3,Transit,2012,16.38500210000,0.1037900000,1.84000000,45.40000000,321.54200000,286.7380152,49.9757383,M0 V,4075.00,0.540000,0.520000
Kepler-52 d,Kepler-52,3,Transit,2014,36.44517100000,0.1820000000,1.95000000,88.87750000,321.54200000,286.7380152,49.9757383,M0 V,4263.00,0.577000,0.556000
Kepler-520 b,Kepler-520,2,Transit,2016,19.67416124000,0.1462800000,1.66000000,3.39000000,623.90100000,293.1802903,41.6177408,,6112.00,1.100000,1.090000
Kepler-520 c,Kepler-520,2,Transit,2016,5.21104261000,0.0603500000,1.07000000,1.24000000,623.90100000,293.1802903,41.6177408,,6112.00,1.100000,1.090000
Kepler-521 b,Kepler-521,1,Transit,2016,22.20813214000,0.1711600000,3.18000000,10.20000000,830.63800000,298.8163801,43.9980203,,6406.00,1.340000,1.460000
Kepler-522 b,Kepler-522,1,Transit,2016,38.58422849000,0.2502900000,6.91000000,38.20000000,639.23900000,288.1539730,44.0688154,,6392.00,1.540000,1.980000
Kepler-523 b,Kepler-523,1,Transit,2016,5.83598311100,0.0615900000,1.96000000,4.50000000,253.29500000,284.0611224,45.5068127,,5515.00,0.930000,0.860000
Kepler-524 b,Kepler-524,2,Transit,2016,7.97419807000,0.0795500000,1.91000000,4.31000000,1058.24000000,296.8591787,49.1620125,,6014.00,1.090000,1.100000
Kepler-524 c,Kepler-524,2,Transit,2016,1.88897906000,0.0304600000,0.96000000,0.84000000,1058.24000000,296.8591787,49.1620125,,6014.00,1.090000,1.100000
